experiment,dataset,build,order,algorithm_ms,quotient_exact_gain_ms,quotient_row_lookup_ms,acquisition_requests,unique_representatives,acquisition_hits
acquisition_audit,FA,current,profile,,,,45120,45120,0
acquisition_audit,EM,current,profile,,,,318150,318150,0
old_new_isolation,FA,old,1,319.800,133.752,7.603,,,
old_new_isolation,FA,new,2,239.673,74.235,9.137,,,
old_new_isolation,FA,new,3,226.614,75.559,10.445,,,
old_new_isolation,FA,old,4,270.051,117.278,9.705,,,
old_new_isolation,EM,old,1,1657.946,596.662,79.314,,,
old_new_isolation,EM,new,2,1746.719,597.858,95.428,,,
old_new_isolation,EM,new,3,1602.894,512.539,85.714,,,
old_new_isolation,EM,old,4,1679.139,600.734,83.783,,,
light_paired,FA,legacy,L1,302.652,,,,,
light_paired,FA,persistent,P1,325.536,,,,,
light_paired,FA,persistent,P2,258.162,,,,,
light_paired,FA,legacy,L2,270.111,,,,,
light_paired,EM,legacy,L1,1699.207,,,,,
light_paired,EM,persistent,P1,1719.935,,,,,
light_paired,EM,persistent,P2,1748.169,,,,,
light_paired,EM,legacy,L2,1703.125,,,,,
