experiment,dataset,run,backend_or_build,algorithm_ms,exact_ms,exact_calls,merge_count,cost_ratio_mags_compatible,supernodes
task5_old_new,FA,O1,task4,353.184025,169.605721,274635,,,
task5_old_new,FA,N1,task5,305.597881,129.744772,274635,,,
task5_old_new,FA,N2,task5,278.145620,123.047367,274635,,,
task5_old_new,FA,O2,task4,380.205292,205.055685,274635,,,
task5_old_new,EM,O1,task4,2336.337286,980.417172,1340107,,,
task5_old_new,EM,N1,task5,1682.717937,637.043987,1340107,,,
task5_old_new,EM,N2,task5,1588.246181,558.235841,1340107,,,
task5_old_new,EM,O2,task4,1952.763530,814.326815,1340107,,,
task5_old_new,AM,O1,task4,9486.689859,5244.935734,5594017,,,
task5_old_new,AM,N1,task5,10706.981192,6233.406821,5594017,,,
task5_old_new,AM,N2,task5,9500.183146,5316.790177,5594017,,,
task5_old_new,AM,O2,task4,9590.087655,5399.218003,5594017,,,
task5_old_new,DB,O1,task4,10691.364559,6776.380789,5264103,,,
task5_old_new,DB,N1,task5,10788.615344,6614.935362,5264103,,,
task5_old_new,DB,N2,task5,10575.008805,6374.166248,5264103,,,
task5_old_new,DB,O2,task4,8299.458368,4566.206745,5264103,,,
closing,FA,1,legacy,301.967653,,289013,2167,0.491347,1872
closing,FA,1,persistent,306.578480,,289013,2167,0.491347,1872
closing,FA,2,persistent,264.522245,,289013,2167,0.491347,1872
closing,FA,2,legacy,291.634701,,289013,2167,0.491347,1872
closing,FA,3,legacy,301.977159,,289013,2167,0.491347,1872
closing,FA,3,persistent,267.874853,,289013,2167,0.491347,1872
closing,EM,1,legacy,2002.351264,,1424396,20735,0.695666,15957
closing,EM,1,persistent,1953.463031,,1424396,20735,0.695666,15957
closing,EM,2,persistent,2001.211890,,1424396,20735,0.695666,15957
closing,EM,2,legacy,1979.356335,,1424396,20735,0.695666,15957
closing,EM,3,legacy,2010.721937,,1424396,20735,0.695666,15957
closing,EM,3,persistent,2039.615073,,1424396,20735,0.695666,15957
closing,AM,1,legacy,11350.188259,,5996392,155541,0.598288,179322
closing,AM,1,persistent,11712.128700,,5996392,155541,0.598288,179322
closing,AM,2,persistent,12022.807425,,5996392,155541,0.598288,179322
closing,AM,2,legacy,11629.771560,,5996392,155541,0.598288,179322
closing,AM,3,legacy,11691.054055,,5996392,155541,0.598288,179322
closing,AM,3,persistent,11854.869001,,5996392,155541,0.598288,179322
closing,DB,1,legacy,11000.187583,,6095695,161245,0.542040,155835
closing,DB,1,persistent,12451.064957,,6095695,161245,0.542040,155835
closing,DB,2,persistent,12794.143109,,6095695,161245,0.542040,155835
closing,DB,2,legacy,11420.876563,,6095695,161245,0.542040,155835
closing,DB,3,legacy,8576.200072,,6095695,161245,0.542040,155835
closing,DB,3,persistent,8339.548906,,6095695,161245,0.542040,155835
closing_large,YO,1,legacy,44148.781765,,,,0.732916,519883
closing_large,YO,1,persistent,45659.333988,,,,0.732916,519883
closing_large,RN,1,legacy,65191.372317,,,,0.707981,1278139
closing_large,RN,1,persistent,71268.110702,,,,0.707981,1278139
closing_large,LJ,1,legacy,254394.913363,,,,0.749757,2348740
closing_large,LJ,1,persistent,258013.994275,,,,0.749757,2348740
