dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
amazon,1,legacy_beam,rounds,334863,116077,334863,1974338,819894,819894,819894,819894,780455,27487,12079,12079,1705379,1702061,10090740,24158,99.177373,220.978320,605.523729,977.603188,1.416833,1.637161
amazon,2,legacy_beam,rounds,322784,113875,322784,1662938,743207,743207,743207,743207,613748,76714,35983,35983,1700712,1602978,9126639,74857,103.680296,117.151833,537.788984,586.366782,2.972479,4.806892
amazon,3,legacy_beam,rounds,286801,108617,286801,1086635,554257,554257,554257,554257,303497,53691,28576,28576,1687162,1340953,6726274,63429,90.480884,87.369458,433.921130,359.407880,2.221754,3.860006
amazon,4,legacy_beam,rounds,258225,102872,258225,837846,429290,429290,429290,429290,147519,35625,19231,19231,1675417,1179075,5269103,44814,87.476537,113.721035,378.623448,797.634867,1.918453,2.772075
amazon,5,legacy_beam,rounds,238994,98135,238994,689119,344335,344335,344335,344335,78730,25829,13600,13600,1663088,1085995,4300164,33105,77.829123,77.794310,327.702847,386.712723,1.407873,2.104842
amazon,6,legacy_beam,rounds,225394,94355,225394,628822,296453,296453,296453,296453,46833,19228,9870,9870,1654574,1027290,3788299,24941,81.269804,56.225722,295.370875,247.280175,1.214621,1.502912
amazon,7,legacy_beam,rounds,215524,91259,215524,594716,270181,270181,270181,270181,30732,14881,7818,7818,1650496,988352,3511053,20743,71.476708,56.400731,276.308699,241.592734,0.789056,1.210630
amazon,8,legacy_beam,rounds,207706,89046,207706,541456,242677,242677,242677,242677,19064,9924,5897,5897,1644950,957126,3232698,16361,67.119066,51.532775,260.954434,245.043090,0.593535,0.893262
amazon,9,legacy_beam,rounds,201809,87169,201809,527263,227664,227664,227664,227664,13937,8419,4447,4447,1641323,934985,3018449,13021,66.203467,52.160315,258.228579,230.742692,0.459170,0.663941
amazon,10,legacy_beam,rounds,197362,85611,197362,485540,212068,212068,212068,212068,9252,5499,3685,3685,1641069,918846,2864464,11260,66.292093,50.743170,244.696802,259.691215,0.403846,0.603160
