dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
dblp,1,legacy_beam,rounds,317080,106786,317080,4925222,878558,878558,878558,878558,868025,14605,7003,7003,2020886,2020883,17629127,14006,81.165111,190.879822,621.038546,370.143773,0.678802,0.868141
dblp,2,legacy_beam,rounds,310077,104441,310077,4261337,837669,837669,837669,837669,777613,186201,53949,53949,2019014,1984540,17057824,109383,83.658103,134.288738,579.089720,365.684802,4.821241,6.681547
dblp,3,legacy_beam,rounds,256128,99226,256128,1595198,545386,545386,545386,545386,267400,86339,41869,41869,1989209,1480960,10528579,107849,70.702996,97.160126,419.114336,327.374647,3.256623,5.712942
dblp,4,legacy_beam,rounds,214259,93745,214259,988554,382987,382987,382987,382987,102250,30209,15779,15779,1913432,1214178,7780066,40724,64.876984,78.100356,316.350563,254.097681,1.376547,2.268572
dblp,5,legacy_beam,rounds,198480,89258,198480,751081,320676,320676,320676,320676,55148,18687,10752,10752,1896252,1129654,6651974,28835,63.562360,71.291022,289.756068,283.244659,0.963018,1.585426
dblp,6,legacy_beam,rounds,187728,86198,187728,692224,279165,279165,279165,279165,32146,11239,7191,7191,1885217,1077313,6123156,20888,61.966021,66.220422,265.788878,227.925775,0.638472,0.995824
dblp,7,legacy_beam,rounds,180537,83661,180537,663077,258530,258530,258530,258530,20818,7895,5263,5263,1876216,1042352,5799375,16066,60.097073,63.948136,253.708285,213.151353,0.498889,0.790274
dblp,8,legacy_beam,rounds,175274,81805,175274,641292,242919,242919,242919,242919,14716,5865,4032,4032,1869133,1017905,5611969,13008,56.915536,59.735913,244.916822,207.560498,0.417922,0.641439
dblp,9,legacy_beam,rounds,171242,80313,171242,590775,228942,228942,228942,228942,10163,4163,3004,3004,1868960,999649,5274969,10231,53.229337,63.415190,236.177487,197.660868,0.312290,0.468559
dblp,10,legacy_beam,rounds,168238,79139,168238,578895,219538,219538,219538,219538,7585,3190,2451,2451,1867773,985779,5142947,8770,57.895174,55.986688,234.383682,198.336412,0.265061,0.408212
dblp,11,legacy_beam,rounds,165787,78563,165787,556003,208953,208953,208953,208953,5692,2390,1890,1890,1862625,973097,4915363,6965,55.531763,53.481259,227.564946,195.056618,0.206535,0.313076
dblp,12,legacy_beam,rounds,163897,77632,163897,541268,202282,202282,202282,202282,4640,2150,1653,1653,1863783,964987,4730923,6377,55.456613,55.927148,224.917792,212.242606,0.208045,0.295780
dblp,13,legacy_beam,rounds,162244,77206,162244,526782,198454,198454,198454,198454,3670,1704,1336,1336,1860180,956763,4646976,5239,54.912208,52.897339,221.864005,188.807100,0.150305,0.233639
dblp,14,legacy_beam,rounds,160908,76992,160908,521001,193520,193520,193520,193520,2965,1426,1125,1125,1857603,949696,4567905,4503,52.013868,51.839484,218.944691,192.289743,0.129967,0.203129
dblp,15,legacy_beam,rounds,159783,76310,159783,521197,190726,190726,190726,190726,2387,1109,882,882,1857075,945140,4507479,3729,56.827752,52.763786,219.926861,187.076948,0.104502,0.170677
dblp,16,legacy_beam,rounds,158901,76541,158901,490411,182406,182406,182406,182406,2032,951,793,793,1852804,938424,4287003,3466,53.261667,50.577630,216.887259,190.798726,0.093600,0.166051
dblp,17,legacy_beam,rounds,158108,75929,158108,510936,185667,185667,185667,185667,1666,805,692,692,1854871,935756,4416121,3125,53.943920,53.713550,214.332421,192.612994,0.082849,0.141882
dblp,18,legacy_beam,rounds,157416,75455,157416,523936,185324,185324,185324,185324,1457,695,595,595,1855108,933293,4469854,2721,52.047111,54.132667,214.153656,219.516116,0.077092,0.130691
dblp,19,legacy_beam,rounds,156821,75547,156821,503840,179355,179355,179355,179355,1184,587,504,504,1853804,929507,4325444,2264,57.702654,55.394574,214.406982,207.382302,0.064886,0.110741
dblp,20,legacy_beam,rounds,156317,75494,156317,478521,174638,174638,174638,174638,1092,552,482,482,1853934,927528,4147496,2240,54.161947,55.903812,209.140157,196.685518,0.062501,0.107502
dblp,1,legacy_beam,rounds,317080,106786,317080,4925222,878558,878558,878558,878558,868025,14605,7003,7003,2020886,2020883,17629127,14006,81.943422,193.443767,617.588736,461.410051,0.699684,0.924648
dblp,2,legacy_beam,rounds,310077,104441,310077,4261337,837669,837669,837669,837669,777613,186201,53949,53949,2019014,1984540,17057824,109383,82.292875,138.386004,578.046834,400.805646,4.980819,6.520345
dblp,3,legacy_beam,rounds,256128,99226,256128,1595198,545386,545386,545386,545386,267400,86339,41869,41869,1989209,1480960,10528579,107849,76.840242,95.857649,408.144847,334.334698,3.427671,5.898241
dblp,4,legacy_beam,rounds,214259,93745,214259,988554,382987,382987,382987,382987,102250,30209,15779,15779,1913432,1214178,7780066,40724,64.149049,83.001517,318.024322,258.597223,1.429988,2.249082
dblp,5,legacy_beam,rounds,198480,89258,198480,751081,320676,320676,320676,320676,55148,18687,10752,10752,1896252,1129654,6651974,28835,60.126901,71.234905,287.122338,252.964744,0.961017,1.542753
dblp,6,legacy_beam,rounds,187728,86198,187728,692224,279165,279165,279165,279165,32146,11239,7191,7191,1885217,1077313,6123156,20888,57.974678,65.449446,263.705270,245.297933,0.692416,1.061364
dblp,7,legacy_beam,rounds,180537,83661,180537,663077,258530,258530,258530,258530,20818,7895,5263,5263,1876216,1042352,5799375,16066,59.494980,63.294920,253.984352,220.906632,0.519168,0.819040
dblp,8,legacy_beam,rounds,175274,81805,175274,641292,242919,242919,242919,242919,14716,5865,4032,4032,1869133,1017905,5611969,13008,55.424250,64.569526,247.880824,224.227033,0.443122,0.646365
dblp,9,legacy_beam,rounds,171242,80313,171242,590775,228942,228942,228942,228942,10163,4163,3004,3004,1868960,999649,5274969,10231,54.818419,60.884160,241.700778,246.551183,0.328819,0.491034
dblp,10,legacy_beam,rounds,168238,79139,168238,578895,219538,219538,219538,219538,7585,3190,2451,2451,1867773,985779,5142947,8770,54.756433,56.536179,230.006734,210.204330,0.261740,0.415874
dblp,11,legacy_beam,rounds,165787,78563,165787,556003,208953,208953,208953,208953,5692,2390,1890,1890,1862625,973097,4915363,6965,57.951965,60.678448,229.725988,198.199636,0.211741,0.329965
dblp,12,legacy_beam,rounds,163897,77632,163897,541268,202282,202282,202282,202282,4640,2150,1653,1653,1863783,964987,4730923,6377,53.044693,56.656704,225.473364,205.685374,0.192487,0.302899
dblp,13,legacy_beam,rounds,162244,77206,162244,526782,198454,198454,198454,198454,3670,1704,1336,1336,1860180,956763,4646976,5239,51.803192,55.454533,222.918821,226.470753,0.156217,0.247485
dblp,14,legacy_beam,rounds,160908,76992,160908,521001,193520,193520,193520,193520,2965,1426,1125,1125,1857603,949696,4567905,4503,58.924653,53.966082,216.211242,216.828914,0.132871,0.225435
dblp,15,legacy_beam,rounds,159783,76310,159783,521197,190726,190726,190726,190726,2387,1109,882,882,1857075,945140,4507479,3729,54.238063,61.192318,215.219215,193.442753,0.106414,0.196578
dblp,16,legacy_beam,rounds,158901,76541,158901,490411,182406,182406,182406,182406,2032,951,793,793,1852804,938424,4287003,3466,52.203771,57.181236,220.743243,215.076038,0.094976,0.184791
dblp,17,legacy_beam,rounds,158108,75929,158108,510936,185667,185667,185667,185667,1666,805,692,692,1854871,935756,4416121,3125,52.159618,52.547106,213.401672,202.151724,0.086830,0.176764
dblp,18,legacy_beam,rounds,157416,75455,157416,523936,185324,185324,185324,185324,1457,695,595,595,1855108,933293,4469854,2721,52.363510,55.691211,213.877148,192.859939,0.074427,0.158340
dblp,19,legacy_beam,rounds,156821,75547,156821,503840,179355,179355,179355,179355,1184,587,504,504,1853804,929507,4325444,2264,53.464056,54.567431,212.658267,190.750911,0.065023,0.148337
dblp,20,legacy_beam,rounds,156317,75494,156317,478521,174638,174638,174638,174638,1092,552,482,482,1853934,927528,4147496,2240,51.577571,51.596859,210.575328,203.630398,0.065484,0.143578
