dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
email_enron,1,legacy_beam,rounds,36692,12390,36692,1274923,176085,176085,176085,176085,174793,47492,1590,1590,354822,354817,4577717,3180,8.188669,799.468058,306.930825,19361.729562,1.394720,0.196250
email_enron,2,legacy_beam,rounds,35102,12571,35102,1036408,149671,149671,149671,149671,144919,51979,5415,5415,352084,347862,4382610,11305,27.875479,793.966863,252.002950,19261.352204,3.565297,0.710069
email_enron,3,legacy_beam,rounds,29687,11600,29687,842715,120356,120356,120356,120356,93118,47866,3823,3823,342643,306502,3703144,9819,14.142277,691.578465,197.755498,17479.223084,2.887363,0.552101
email_enron,4,legacy_beam,rounds,25864,11387,25864,723667,92501,92501,92501,92501,55454,27503,1894,1894,339378,285681,3430157,4955,10.643749,640.293703,173.274483,14571.126571,5.684262,0.312017
email_enron,5,legacy_beam,rounds,23970,10972,23970,745872,78430,78430,78430,78430,36623,18276,1510,1510,325780,261885,3094132,4359,13.508232,661.090941,159.782401,13017.026167,2.135114,1.863816
email_enron,6,legacy_beam,rounds,22460,9361,22460,780731,84785,84785,84785,84785,37729,25009,1188,1188,342519,265345,3304838,3747,12.936144,585.476312,171.472597,12566.657712,0.600150,0.186739
email_enron,7,legacy_beam,rounds,21272,9524,21272,565770,65266,65266,65266,65266,24111,17232,840,840,339261,255186,3142900,2782,10.337311,529.225309,112.962702,12217.044257,0.364725,0.153591
email_enron,8,legacy_beam,rounds,20432,9389,20432,693215,61327,61327,61327,61327,16870,11196,728,728,338360,248602,3391506,2581,12.512214,526.282732,114.592968,11703.711869,0.237675,0.135551
email_enron,9,legacy_beam,rounds,19704,9060,19704,628107,56203,56203,56203,56203,12693,9190,643,643,338863,243685,3168189,2530,12.660353,497.692765,122.423521,11543.976290,0.188051,2.733220
email_enron,10,legacy_beam,rounds,19061,8268,19061,896712,62831,62831,62831,62831,17294,14747,529,529,339110,240369,3248388,2376,12.456928,517.346415,132.217514,11651.435934,0.258442,0.107195
email_enron,11,legacy_beam,rounds,18532,7938,18532,665151,58986,58986,58986,58986,15819,14054,485,485,340242,237732,3046610,2380,10.623114,457.721349,109.992338,11482.134770,0.281698,0.120764
email_enron,12,legacy_beam,rounds,18047,7935,18047,723307,52867,52867,52867,52867,14082,12695,372,372,337620,233611,2953750,1817,12.547103,462.692425,120.261227,11357.277381,0.252760,0.075528
email_enron,13,legacy_beam,rounds,17675,7710,17675,552474,52502,52502,52502,52502,12115,11008,324,324,337705,232120,2997869,1542,10.666310,456.437216,88.617754,10896.416473,0.181634,0.061767
email_enron,14,legacy_beam,rounds,17351,7678,17351,611025,52750,52750,52750,52750,11190,10233,263,263,336513,229589,2894509,1396,10.573690,466.300593,102.962903,10989.946634,0.178140,0.066713
email_enron,15,legacy_beam,rounds,17088,7858,17088,395087,40033,40033,40033,40033,6509,5923,238,238,337059,228373,2448950,1327,12.630947,425.814727,83.314313,11497.400237,0.113641,0.064370
email_enron,16,legacy_beam,rounds,16850,7606,16850,540214,44216,44216,44216,44216,8648,7972,185,185,337155,227238,2671913,1087,9.327156,471.048120,111.818140,10945.854028,0.114280,0.047084
email_enron,17,legacy_beam,rounds,16665,7263,16665,610398,46526,46526,46526,46526,9651,9183,231,231,338215,226757,2917073,1398,22.362694,452.701968,120.102744,10831.860918,0.143193,0.053740
email_enron,18,legacy_beam,rounds,16434,7171,16434,653389,48468,48468,48468,48468,9294,8841,174,174,336555,224162,3035436,1174,9.394565,427.598845,108.714933,10213.737614,0.125232,0.039783
email_enron,19,legacy_beam,rounds,16260,7877,16260,555453,34758,34758,34758,34758,3596,3278,146,146,327992,217780,2639088,950,10.455541,429.303609,86.282633,10877.200611,0.053929,0.040708
email_enron,20,legacy_beam,rounds,16114,7154,16114,841669,45835,45835,45835,45835,6527,6213,157,157,336777,222495,3113758,1084,9.923994,452.928086,94.285576,11007.533854,0.134201,0.044891
email_enron,1,legacy_beam,rounds,36692,12390,36692,1274923,176085,176085,176085,176085,174793,47492,1590,1590,354822,354817,4577717,3180,7.014310,117.614469,163.246877,34.502178,1.203084,0.166473
