dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
facebook,1,legacy_beam,rounds,4039,747,4039,2727353,26921,26921,26921,26921,26920,39,17,17,173840,173840,3640612,34,0.873740,86.432642,158.008411,1846.453935,0.003325,0.003184
facebook,2,legacy_beam,rounds,4022,703,4022,3683689,27059,27059,27059,27059,25869,7986,703,703,174089,169605,3616864,1408,1.063128,108.193855,135.035212,1819.041727,1.078097,0.129035
facebook,3,legacy_beam,rounds,3319,702,3319,1298877,19927,19927,19927,19927,14187,1233,326,326,173579,111025,2096783,790,1.245113,58.333272,52.308007,1764.319398,0.123718,0.070370
facebook,4,legacy_beam,rounds,2993,623,2993,854864,17507,17507,17507,17507,8330,503,186,186,173623,96032,1704556,463,6.558902,42.500020,47.129494,1624.428597,0.024151,0.025826
facebook,5,legacy_beam,rounds,2807,566,2807,622283,15906,15906,15906,15906,5418,500,145,145,174199,88131,1464207,350,0.892454,40.861577,41.405909,1559.710352,0.045181,0.031917
facebook,6,legacy_beam,rounds,2662,457,2662,715991,17575,17575,17575,17575,4913,375,161,161,174088,84064,1501021,437,0.828106,46.960084,52.250879,1213.132358,0.033958,0.035786
facebook,7,legacy_beam,rounds,2501,568,2501,829794,13630,13630,13630,13630,2740,114,86,86,173212,76912,1322104,259,1.049193,53.225000,40.679290,1574.741585,0.021099,0.025084
facebook,8,legacy_beam,rounds,2415,506,2415,628141,13920,13920,13920,13920,2286,174,80,80,173426,74113,1261908,216,5.033714,38.451304,31.080756,1298.145340,0.016387,0.024736
facebook,9,legacy_beam,rounds,2335,502,2335,659174,13284,13284,13284,13284,1717,101,61,61,173143,70957,1245440,182,0.812978,46.923858,41.844465,1297.542606,0.018214,0.014416
facebook,10,legacy_beam,rounds,2274,520,2274,401524,12288,12288,12288,12288,1281,74,64,64,173108,68934,1079855,191,3.389515,37.820126,25.564705,1326.523719,0.013498,0.018635
facebook,11,legacy_beam,rounds,2210,520,2210,523425,11486,11486,11486,11486,1120,90,59,59,173205,66672,1071361,181,1.873833,36.482632,28.718171,1200.382633,0.009929,0.011042
facebook,12,legacy_beam,rounds,2151,523,2151,345101,10500,10500,10500,10500,736,53,43,43,172865,64394,959323,123,0.805675,39.759147,15.939310,1285.391412,0.005983,0.007984
facebook,13,legacy_beam,rounds,2108,355,2108,407000,13907,13907,13907,13907,912,226,59,59,173840,63836,1038153,196,0.665837,36.731237,34.035252,978.806424,0.016198,0.011902
facebook,14,legacy_beam,rounds,2049,404,2049,456523,12504,12504,12504,12504,602,53,36,36,173409,61743,1005874,126,3.708995,45.729860,49.908021,1024.781366,0.011410,0.015628
facebook,15,legacy_beam,rounds,2013,428,2013,380857,11554,11554,11554,11554,572,44,32,32,173422,60694,980887,103,2.522799,29.778056,22.572597,1083.578526,0.004625,0.005290
facebook,16,legacy_beam,rounds,1981,465,1981,353567,10008,10008,10008,10008,371,16,15,15,173577,59326,895769,50,0.701222,30.303679,21.797103,1150.518072,0.002186,0.002463
facebook,17,legacy_beam,rounds,1966,403,1966,576158,11087,11087,11087,11087,461,46,30,30,173259,58668,960315,103,0.853773,45.481141,32.402963,954.309070,1.008141,0.005390
facebook,18,legacy_beam,rounds,1936,416,1936,341411,10764,10764,10764,10764,336,42,27,27,172816,57276,893635,100,0.915177,30.940355,16.950022,1049.547358,0.007313,0.008264
facebook,19,legacy_beam,rounds,1909,462,1909,475533,9403,9403,9403,9403,274,17,16,16,172317,56442,884144,43,5.550921,32.386022,25.587689,1206.738476,0.010199,0.014256
facebook,20,legacy_beam,rounds,1893,428,1893,398180,9783,9783,9783,9783,286,27,21,21,173035,56338,882573,84,2.943716,27.823034,25.729907,1126.017781,0.007584,0.011831
facebook,1,legacy_beam,rounds,4039,747,4039,2727353,26921,26921,26921,26921,26920,39,17,17,173840,173840,3640612,34,0.803149,17.849069,71.359896,5.987039,0.001223,0.002325
facebook,2,legacy_beam,rounds,4022,703,4022,3683689,27059,27059,27059,27059,25869,7986,703,703,174089,169605,3616864,1408,0.921219,24.582163,54.102471,5.233859,0.294809,0.074801
facebook,3,legacy_beam,rounds,3319,702,3319,1298877,19927,19927,19927,19927,14187,1233,326,326,173579,111025,2096783,790,0.773153,7.518098,27.768362,3.993444,0.037533,0.044185
facebook,4,legacy_beam,rounds,2993,623,2993,854864,17507,17507,17507,17507,8330,503,186,186,173623,96032,1704556,463,0.737206,4.653753,23.717067,3.486189,0.015781,0.025488
facebook,5,legacy_beam,rounds,2807,566,2807,622283,15906,15906,15906,15906,5418,500,145,145,174199,88131,1464207,350,0.715385,3.078846,18.801840,4.056667,0.013510,0.021049
facebook,6,legacy_beam,rounds,2662,457,2662,715991,17575,17575,17575,17575,4913,375,161,161,174088,84064,1501021,437,0.672325,8.025935,21.276254,3.111253,0.011158,0.024459
facebook,7,legacy_beam,rounds,2501,568,2501,829794,13630,13630,13630,13630,2740,114,86,86,173212,76912,1322104,259,0.664209,6.939821,18.038352,3.290208,0.004928,0.012836
facebook,8,legacy_beam,rounds,2415,506,2415,628141,13920,13920,13920,13920,2286,174,80,80,173426,74113,1261908,216,0.642168,3.235208,15.564520,4.046531,0.006211,0.013515
facebook,9,legacy_beam,rounds,2335,502,2335,659174,13284,13284,13284,13284,1717,101,61,61,173143,70957,1245440,182,0.640435,4.034769,19.668015,3.089985,0.003805,0.007565
facebook,10,legacy_beam,rounds,2274,520,2274,401524,12288,12288,12288,12288,1281,74,64,64,173108,68934,1079855,191,0.636027,2.302046,14.182920,2.788774,0.002917,0.007954
facebook,11,legacy_beam,rounds,2210,520,2210,523425,11486,11486,11486,11486,1120,90,59,59,173205,66672,1071361,181,0.622512,2.770971,12.337580,2.679127,0.003480,0.009138
facebook,12,legacy_beam,rounds,2151,523,2151,345101,10500,10500,10500,10500,736,53,43,43,172865,64394,959323,123,0.615418,2.038855,11.266578,2.734982,0.002496,0.007015
facebook,13,legacy_beam,rounds,2108,355,2108,407000,13907,13907,13907,13907,912,226,59,59,173840,63836,1038153,196,0.593858,5.962437,16.230672,2.382937,0.006942,0.009307
facebook,14,legacy_beam,rounds,2049,404,2049,456523,12504,12504,12504,12504,602,53,36,36,173409,61743,1005874,126,0.587146,3.924013,14.530763,2.322167,0.002256,0.005880
facebook,15,legacy_beam,rounds,2013,428,2013,380857,11554,11554,11554,11554,572,44,32,32,173422,60694,980887,103,0.594891,2.010842,11.722297,2.384789,0.001582,0.005359
